customer_id,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,call_failures,tariff_plan,status,age_group,complaints,churn
438,35,0,5813,59,80,20,0,A,Active,Under 30,N,0
439,36,0,2780,53,175,23,6,A,Active,Under 30,N,0
440,36,0,2858,65,360,22,11,A,Active,Under 30,N,0
441,16,3,3098,48,33,19,10,A,Active,30-40,N,0
442,32,0,5533,87,0,6,0,A,Active,Under 30,N,0
443,38,0,3953,63,0,35,8,A,Active,Under 30,N,0
444,34,1,3085,25,7,14,5,A,Active,30-40,N,0
445,24,0,280,13,0,1,6,A,Inactive,Under 30,N,0
446,39,5,16640,254,22,88,35,B,Active,Under 30,N,0
447,31,0,3035,37,7,12,9,A,Inactive,30-40,N,1
